id,part_number,label,category,moved_to
parts/31570.dat,31570,Tile  1 x  1 Round with Pin and Pin Hole,Tile,False
parts/76307.dat,76307,Technic Flex-System Hose  5L (100LDU),Technic,False
parts/6047.dat,6047,Arm Piece with Pin without Friction and 3 Fingers,Arm,False
parts/3005pvf.dat,3005pvf,"Brick  1 x  1 with Lightblue ""F"" Pattern",Brick,False
parts/92218.dat,92218,Claw  7L with  3 Bars  0.5L,Claw,False
parts/3815cbc.dat,3815cbc,Minifig Hips and Legs with Iron Man Armoured Suit Mark VII Pattern,Minifig,False
parts/30461c01.dat,30461c01,Animal Dinosaur Body Triceratops (Complete) w/ Light Gray Legs,Animal,False
parts/75974.dat,75974,Technic Pneumatic Airtank (Complete),Technic,False
parts/4864p33.dat,4864p33,,,"0 ~Moved to 4864bp10
"
parts/2454ps5.dat,2454ps5,Brick  1 x  2 x  5 with SW Han Solo Carbonite Pattern,Brick,False
parts/u9150.dat,u9150,Figure Fabuland Lion Head without Pattern,Figure,False
parts/6254.dat,6254,Minifig Food Ice Cream Scoops,Minifig,False
parts/374726.dat,374726,Slope Brick 33  3 x  2 Inverted Black (Obsolete),Slope,False
parts/6258203b.dat,6258203b,"Sticker  1.9 x  3.9 with Yellow License Plate and White ""Michigan GT 1967""",Sticker,False
parts/003497h.dat,003497h,Sticker Minifig Torso with Red Shirt with Four Buttons and Patch Pockets,Sticker,False
parts/92247p05.dat,92247p05,Figure Friends Male Right Arm with Sand Green Sleeve Pattern,Figure,False
parts/62930.dat,62930,Electric Light Brick  2 x  3 x  1.333 - Clear Top - Yellow LED (Obsolete),Electric,False
parts/3832.dat,3832,Plate  2 x 10,Plate,False
parts/u9252p01.dat,u9252p01,,,"0 ~Moved to 191765
"
parts/43710.dat,43710,Wedge  4 x  2 Double Left,Wedge,False
parts/u8016c01.dat,u8016c01,Mursten Window Pane  1 x  2 x  2 with Glass,Mursten,False
parts/973p7o.dat,973p7o,Minifig Torso with Blue Construction Overalls and Silver Belt Pattern,Minifig,False
parts/2208.dat,2208,Duplo Door  1 x  4 x  6 with Six Panes,Duplo,False
parts/3815c6g.dat,3815c6g,Minifig Hips and Legs with White and Gold Markings Pattern,Minifig,False
parts/335c01.dat,335c01,,,"0 ~Moved to 335c01-f1
"
parts/973p63.dat,973p63,Minifig Torso with Robot Pattern,Minifig,False
parts/4698.dat,4698,Technic Axle Nut,Technic,False
parts/776p06.dat,776p06,Flag on Flagpole Type 1 with Austria Pattern,Flag,False
